(0,0,0)
(0,1,0)
(0,2,0)
(0,2,1)
(0,2,2)
(0,2,3)
(0,2,4)
(0,2,5)
(0,2,6)
(0,3,6)
(0,4,6)
(0,5,6)
(0,6,6)
(0,7,6)
(0,8,6)
(0,8,7)
(0,9,7)
(0,9,8)
(0,10,8)
(0,10,9)
(0,11,9)
(0,11,10)
(0,12,10)
(0,12,11)
(0,13,11)
(0,14,11)
(0,15,11)
(0,16,11)
(0,17,11)
(0,18,11)
(0,19,11)
(0,19,12)
(0,19,13)
(0,19,14)
(0,19,15)
(0,19,16)
(0,19,17)
(0,18,17)
(0,17,17)
(0,17,18)
(0,16,18)
(0,15,18)
(0,15,17)
(0,14,17)
(0,13,17)
(0,13,18)
(0,12,18)
(0,11,18)
(0,10,18)
(0,10,17)
(0,9,17)
(0,8,17)
(0,7,17)
(0,6,17)
(0,5,17)
(0,4,17)
(0,4,18)
(0,3,18)
(0,2,18)
(0,1,18)
(0,1,17)
(0,0,17)
(0,0,16)
(0,0,15)
(0,0,14)
(0,0,13)
(0,0,12)
(0,0,11)
(0,0,10)
(0,0,9)
(0,0,8)
(0,0,7)
(0,0,6)
(0,0,5)
(0,0,4)
(0,0,3)
(0,0,2)
