(0,0,0)
(0,1,0)
(0,2,0)
(0,2,1)
(0,2,2)
(0,2,3)
(0,2,4)
(0,3,4)
(0,3,3)
(0,3,2)
(0,4,2)
(0,5,2)
(0,6,2)
(0,7,2)
(0,8,2)
(0,8,1)
(0,8,0)
(0,9,0)
(0,10,0)
(0,11,0)
(0,12,0)
(0,13,0)
(0,14,0)
(0,15,0)
(0,16,0)
(0,17,0)
(0,18,0)
(0,19,0)
(0,19,1)
(0,19,2)
(0,19,3)
(0,19,4)
(0,19,5)
(0,19,6)
(0,19,7)
(0,19,8)
(0,19,9)
(0,19,10)
(0,19,11)
(0,19,12)
(0,19,13)
(0,19,14)
(0,19,15)
(0,19,16)
(0,19,17)
(0,19,18)
(0,18,18)
(0,17,18)
(0,16,18)
(0,15,18)
(0,15,17)
(0,14,17)
(0,13,17)
(0,13,18)
(0,12,18)
(0,11,18)
(0,10,18)
(0,10,17)
(0,9,17)
(0,8,17)
(0,7,17)
(0,6,17)
(0,5,17)
(0,4,17)
(0,4,18)
(0,3,18)
(0,2,18)
(0,2,17)
(0,1,17)
(0,0,17)
(0,0,16)
(0,0,15)
(0,0,14)
(0,0,13)
(0,0,12)
(0,0,11)
(0,0,10)
(0,0,9)
(0,0,8)
(0,0,7)
(0,0,6)
(0,0,5)
(0,0,4)
(0,0,3)
(0,0,2)
